Title,Professor,Weekly Hours,main_description
"Inequality, International Tax, and Investment Incentives","Vinod Aggarwal - Professor, Political Science",9-11,"In a world of rising inequality and globalization, international coordination on tax policy has increased in importance. In this project, I investigate how international tax coordination was formed between states and how changes to the global tax rules affect the international investment environment.  I argue that the global minimum tax..."
Biotransformation of PFAS in Contaminated Environments,"Lisa Alvarez-Cohen - Professor, Civil and Environmental Engineering",6-8,"Per- and polyfluoroalkyl substances (PFAS) are a class of synthetic chemicals used in various industrial and consumer products, including Aqueous Film Forming Foam (AFFF), widely used since the 1960s for firefighting. Due to their persistent, bioaccumulative, and toxic nature, PFAS pose significant environmental and health risks. Despite their widespread use..."
Folklore Archive URAP,"Folklore Archivist - Archivist, Folklore Program",3-5,"Students applying would ideally already be familiar with folklore genres (e.g. by having taken Anthropology 160, The Forms of Folklore, or an equivalent course) but we are also excited to welcome new students who are interested in learning more about the field. The basic work will entail filing, cataloging and..."
Centering the Wisdom and Expertise of Indigenous Women,"Paola Bacchetta - Professor, Gender and Women&#039;s Studies",9-11,"In a world of rising inequality and globalization, international coordination on tax policy has increased in importance. In this project, I investigate how international tax coordination was formed between states and how changes to the global tax rules affect the international investment environment.  I argue that the global minimum tax..."
The Social Psychology of Authenticity,"Erica Bailey - Professor , Business, Haas School",3-5,"Students applying would ideally already be familiar with folklore genres (e.g. by having taken Anthropology 160, The Forms of Folklore, or an equivalent course) but we are also excited to welcome new students who are interested in learning more about the field. The basic work will entail filing, cataloging and..."
Developing Language and Academic Supports for Speakers and Learners of Mam (Maya),"Patricia Baquedano-Lopez - Professor, Education",3-5,"Students applying would ideally already be familiar with folklore genres (e.g. by having taken Anthropology 160, The Forms of Folklore, or an equivalent course) but we are also excited to welcome new students who are interested in learning more about the field. The basic work will entail filing, cataloging and..."
Developing Digital Resources for Middle Iranian Textual Corpora,"Adam Benkato - Professor , Near Eastern Studies",3-5,"Students applying would ideally already be familiar with folklore genres (e.g. by having taken Anthropology 160, The Forms of Folklore, or an equivalent course) but we are also excited to welcome new students who are interested in learning more about the field. The basic work will entail filing, cataloging and..."
"Rapid Reviews\ Infectious Diseases (RR\ID)

","Stefano M. Bertozzi - Professor, Public Health",to be negotiated     Location: On Campus ,"Rapid Reviews\Infectious Diseases (RR\ID) [rrid.mitpress.mit.edu], is an initiative of the MIT Press and the University of California, Berkeley. It is an open access, rapid-review overlay journal for the accelerated curation and peer review of COVID-19 and emerging infections disease-related research. RR\ID takes a transdisciplinary..."
Rapid Reviews\ Infectious Diseases (RR\ID) Data Science Project,"Stefano M. Bertozzi - Professor, Public Health",6-8,"Per- and polyfluoroalkyl substances (PFAS) are a class of synthetic chemicals used in various industrial and consumer products, including Aqueous Film Forming Foam (AFFF), widely used since the 1960s for firefighting. Due to their persistent, bioaccumulative, and toxic nature, PFAS pose significant environmental and health risks. Despite their widespread use..."
Decision analysis for clinical and non-clinical use of psychedelics,"Stefano M. Bertozzi - Professor, Public Health",to be negotiated     Location: Off Campus ,"Psychiatric disorders including PTSD; and alcohol use disorder and other addictions are responsible for a large portion of both the global burden and US burden of disease. Current therapies help some people suffering from these disorders. Nevertheless, many patients do not respond adequately or cannot tolerate the side-effects accompanying..."
Undergraduate Humanities Writer,"Stephen Best - Professor, Townsend Center",3-5,"Students applying would ideally already be familiar with folklore genres (e.g. by having taken Anthropology 160, The Forms of Folklore, or an equivalent course) but we are also excited to welcome new students who are interested in learning more about the field. The basic work will entail filing, cataloging and..."
Genetics of Adaptation in Monkeyflowers,"Benjamin Blackman - Professor, Plant and Microbial Biology",9-11,A major focus of our lab is identifying how genetic and phenotypic variation that has evolved among plant populations adapts plants to their local climates. Understanding how these adaptations to climate variation across space have evolved will help us understand mechanisms by which plants can evolve to cope with a...
Exploring Host-Pathogen Interactions and Viral Dynamics in Lepidoptera,"Mike Boots - Professor, Integrative Biology",9-11,A major focus of our lab is identifying how genetic and phenotypic variation that has evolved among plant populations adapts plants to their local climates. Understanding how these adaptations to climate variation across space have evolved will help us understand mechanisms by which plants can evolve to cope with a...
California Wolf Project,"Justin Brashares - Professor, Environmental Science, Policy and Management",to be negotiated     Location: On Campus ,"Rapid Reviews\Infectious Diseases (RR\ID) [rrid.mitpress.mit.edu], is an initiative of the MIT Press and the University of California, Berkeley. It is an open access, rapid-review overlay journal for the accelerated curation and peer review of COVID-19 and emerging infections disease-related research. RR\ID takes a transdisciplinary..."
Tracing the History of Polarization in Congress,"David Broockman - Professor, Political Science",6-8,"Per- and polyfluoroalkyl substances (PFAS) are a class of synthetic chemicals used in various industrial and consumer products, including Aqueous Film Forming Foam (AFFF), widely used since the 1960s for firefighting. Due to their persistent, bioaccumulative, and toxic nature, PFAS pose significant environmental and health risks. Despite their widespread use..."
Early-Stage Research in Labor Economics,"Sydnee Caldwell - Professor, Business, Haas School",9-11,A major focus of our lab is identifying how genetic and phenotypic variation that has evolved among plant populations adapts plants to their local climates. Understanding how these adaptations to climate variation across space have evolved will help us understand mechanisms by which plants can evolve to cope with a...
